type,input,output,pattern,notes,example_sentence,subject,verb,completion
arithmetic,I + I,2,addition,Roman numeral arithmetic expression,,,,
arithmetic,II + II,4,addition,Roman numeral arithmetic expression,,,,
arithmetic,III + III,6,addition,Roman numeral arithmetic expression,,,,
arithmetic,IV + IV,8,addition,Roman numeral arithmetic expression,,,,
arithmetic,V + V,10,addition,Roman numeral arithmetic expression,,,,
arithmetic,VI + VI,12,addition,Roman numeral arithmetic expression,,,,
arithmetic,VII + VII,14,addition,Roman numeral arithmetic expression,,,,
arithmetic,VIII + VIII,16,addition,Roman numeral arithmetic expression,,,,
arithmetic,IX + IX,18,addition,Roman numeral arithmetic expression,,,,
arithmetic,X + X,20,addition,Roman numeral arithmetic expression,,,,
arithmetic,I + II,3,addition,Roman numeral arithmetic expression,,,,
arithmetic,II + III,5,addition,Roman numeral arithmetic expression,,,,
arithmetic,III + IV,7,addition,Roman numeral arithmetic expression,,,,
arithmetic,IV + V,9,addition,Roman numeral arithmetic expression,,,,
arithmetic,V + VI,11,addition,Roman numeral arithmetic expression,,,,
arithmetic,VI + VII,13,addition,Roman numeral arithmetic expression,,,,
arithmetic,VII + VIII,15,addition,Roman numeral arithmetic expression,,,,
arithmetic,VIII + IX,17,addition,Roman numeral arithmetic expression,,,,
arithmetic,IX + X,19,addition,Roman numeral arithmetic expression,,,,
arithmetic,X + XI,21,addition,Roman numeral arithmetic expression,,,,
arithmetic,II - I,1,subtraction,Roman numeral arithmetic expression,,,,
arithmetic,III - I,2,subtraction,Roman numeral arithmetic expression,,,,
arithmetic,IV - II,2,subtraction,Roman numeral arithmetic expression,,,,
arithmetic,V - II,3,subtraction,Roman numeral arithmetic expression,,,,
arithmetic,VI - III,3,subtraction,Roman numeral arithmetic expression,,,,
arithmetic,VII - III,4,subtraction,Roman numeral arithmetic expression,,,,
arithmetic,VIII - IV,4,subtraction,Roman numeral arithmetic expression,,,,
arithmetic,IX - IV,5,subtraction,Roman numeral arithmetic expression,,,,
arithmetic,X - V,5,subtraction,Roman numeral arithmetic expression,,,,
arithmetic,XII - VI,6,subtraction,Roman numeral arithmetic expression,,,,
arithmetic,III - II,1,subtraction,Roman numeral arithmetic expression,,,,
arithmetic,IV - III,1,subtraction,Roman numeral arithmetic expression,,,,
arithmetic,V - III,2,subtraction,Roman numeral arithmetic expression,,,,
arithmetic,VI - IV,2,subtraction,Roman numeral arithmetic expression,,,,
arithmetic,VII - IV,3,subtraction,Roman numeral arithmetic expression,,,,
arithmetic,VIII - V,3,subtraction,Roman numeral arithmetic expression,,,,
arithmetic,IX - V,4,subtraction,Roman numeral arithmetic expression,,,,
arithmetic,X - VI,4,subtraction,Roman numeral arithmetic expression,,,,
arithmetic,XI - VI,5,subtraction,Roman numeral arithmetic expression,,,,
arithmetic,XII - VII,5,subtraction,Roman numeral arithmetic expression,,,,
arithmetic,II * II,4,multiplication,Roman numeral arithmetic expression,,,,
arithmetic,III * II,6,multiplication,Roman numeral arithmetic expression,,,,
arithmetic,IV * II,8,multiplication,Roman numeral arithmetic expression,,,,
arithmetic,V * II,10,multiplication,Roman numeral arithmetic expression,,,,
arithmetic,VI * II,12,multiplication,Roman numeral arithmetic expression,,,,
arithmetic,VII * II,14,multiplication,Roman numeral arithmetic expression,,,,
arithmetic,VIII * II,16,multiplication,Roman numeral arithmetic expression,,,,
arithmetic,IX * II,18,multiplication,Roman numeral arithmetic expression,,,,
arithmetic,X * II,20,multiplication,Roman numeral arithmetic expression,,,,
arithmetic,XII * II,24,multiplication,Roman numeral arithmetic expression,,,,
arithmetic,II * III,6,multiplication,Roman numeral arithmetic expression,,,,
arithmetic,III * III,9,multiplication,Roman numeral arithmetic expression,,,,
arithmetic,IV * III,12,multiplication,Roman numeral arithmetic expression,,,,
arithmetic,V * III,15,multiplication,Roman numeral arithmetic expression,,,,
arithmetic,VI * III,18,multiplication,Roman numeral arithmetic expression,,,,
arithmetic,VII * III,21,multiplication,Roman numeral arithmetic expression,,,,
arithmetic,VIII * III,24,multiplication,Roman numeral arithmetic expression,,,,
arithmetic,IX * III,27,multiplication,Roman numeral arithmetic expression,,,,
arithmetic,X * III,30,multiplication,Roman numeral arithmetic expression,,,,
arithmetic,XII * III,36,multiplication,Roman numeral arithmetic expression,,,,
arithmetic,IV / II,2,division,Roman numeral arithmetic expression,,,,
arithmetic,VI / II,3,division,Roman numeral arithmetic expression,,,,
arithmetic,VIII / II,4,division,Roman numeral arithmetic expression,,,,
arithmetic,X / II,5,division,Roman numeral arithmetic expression,,,,
arithmetic,XII / II,6,division,Roman numeral arithmetic expression,,,,
arithmetic,XIV / II,7,division,Roman numeral arithmetic expression,,,,
arithmetic,XVI / II,8,division,Roman numeral arithmetic expression,,,,
arithmetic,XVIII / II,9,division,Roman numeral arithmetic expression,,,,
arithmetic,XX / II,10,division,Roman numeral arithmetic expression,,,,
arithmetic,XXIV / II,12,division,Roman numeral arithmetic expression,,,,
arithmetic,VI / III,2,division,Roman numeral arithmetic expression,,,,
arithmetic,IX / III,3,division,Roman numeral arithmetic expression,,,,
arithmetic,XII / III,4,division,Roman numeral arithmetic expression,,,,
arithmetic,XV / III,5,division,Roman numeral arithmetic expression,,,,
arithmetic,XVIII / III,6,division,Roman numeral arithmetic expression,,,,
arithmetic,XXI / III,7,division,Roman numeral arithmetic expression,,,,
arithmetic,XXIV / III,8,division,Roman numeral arithmetic expression,,,,
arithmetic,XXVII / III,9,division,Roman numeral arithmetic expression,,,,
arithmetic,XXX / III,10,division,Roman numeral arithmetic expression,,,,
arithmetic,XXXVI / III,12,division ,Roman numeral arithmetic expression,,,,
structure,Avem volare.,S-V,Subject-Verb,Basic Latin structure: who/what does the action.,Avem volare.,Avis,volat,(none)
structure,Puer librum legit.,S-V-O,Subject-Verb-Object,Subject performs action on the object.,Puer librum legit.,Puer,legit,librum
structure,Caelum caeruleum est.,S-V-Adj,Subject-Verb-Adjective,Describes the subject using 'be' verb.,Caelum caeruleum est.,Caelum,est,caeruleum
structure,Puer celeriter currit.,S-V-Adv,Subject-Verb-Adverb,Describes how the action is done.,Puer celeriter currit.,Puer,currit,celeriter
structure,Liber in mensa est.,S-V-PP,Subject-Verb-PrepositionalPhrase,Indicates location.,Liber in mensa est.,Liber,est,in mensa
structure,Estne puella laeta?,Estne...?,Yes/No Question,Asks about a state or description.,Estne puella laeta?,puella,est,laeta
structure,Non est frigidum.,Non...,Simple Negative,Negates a state or description.,Non est frigidum.,(none),est,frigidum
structure,Claude ianuam.,V-(O/PP),Command,Gives an instruction.,Claude ianuam.,(Tu - implied),claude,ianuam
structure,I + I = II,I + I,Arithmetic,Basic addition in Roman numerals.,I + I = II,I,+,I
structure,II * III = VI,II * III,Arithmetic,Basic multiplication in Roman numerals.,II * III = VI,II,*,III
structure,X - V = V,X - V,Arithmetic,Basic subtraction in Roman numerals.,X - V = V,X,-,V
structure,VI / II = III,VI / II,Arithmetic,Basic division in Roman numerals.,VI / II = III,VI,/,II
