problem,solution,category
1 + 1,2,addition
2 + 2,4,addition
3 + 3,6,addition
4 + 4,8,addition
5 + 5,10,addition
6 + 6,12,addition
7 + 7,14,addition
8 + 8,16,addition
9 + 9,18,addition
10 + 10,20,addition
1 + 2,3,addition
2 + 3,5,addition
3 + 4,7,addition
4 + 5,9,addition
5 + 6,11,addition
6 + 7,13,addition
7 + 8,15,addition
8 + 9,17,addition
9 + 10,19,addition
10 + 11,21,addition
2 - 1,1,subtraction
3 - 1,2,subtraction
4 - 2,2,subtraction
5 - 2,3,subtraction
6 - 3,3,subtraction
7 - 3,4,subtraction
8 - 4,4,subtraction
9 - 4,5,subtraction
10 - 5,5,subtraction
12 - 6,6,subtraction
3 - 2,1,subtraction
4 - 3,1,subtraction
5 - 3,2,subtraction
6 - 4,2,subtraction
7 - 4,3,subtraction
8 - 5,3,subtraction
9 - 5,4,subtraction
10 - 6,4,subtraction
11 - 6,5,subtraction
12 - 7,5,subtraction
2 * 2,4,multiplication
3 * 2,6,multiplication
4 * 2,8,multiplication
5 * 2,10,multiplication
6 * 2,12,multiplication
7 * 2,14,multiplication
8 * 2,16,multiplication
9 * 2,18,multiplication
10 * 2,20,multiplication
12 * 2,24,multiplication
2 * 3,6,multiplication
3 * 3,9,multiplication
4 * 3,12,multiplication
5 * 3,15,multiplication
6 * 3,18,multiplication
7 * 3,21,multiplication
8 * 3,24,multiplication
9 * 3,27,multiplication
10 * 3,30,multiplication
12 * 3,36,multiplication
4 / 2,2,division
6 / 2,3,division
8 / 2,4,division
10 / 2,5,division
12 / 2,6,division
14 / 2,7,division
16 / 2,8,division
18 / 2,9,division
20 / 2,10,division
24 / 2,12,division
6 / 3,2,division
9 / 3,3,division
12 / 3,4,division
15 / 3,5,division
18 / 3,6,division
21 / 3,7,division
24 / 3,8,division
27 / 3,9,division
30 / 3,10,division
36 / 3,12,division
(2 + 3) * 4,20,complex
2 + (3 * 4),14,complex
(10 - 5) * 3,15,complex
10 - (5 * 3),-5,complex
(4 * 2) + (3 * 3),17,complex
(12 / 3) + (8 / 2),8,complex
(5 + 3) * (4 - 2),16,complex
(10 - 2) / (3 + 1),2,complex
(2 * 3) + (4 * 5),26,complex
(6 / 2) + (9 / 3),6,complex
-2 + 3,1,negative
-5 - 3,-8,negative
-4 * 2,-8,negative
-6 / 2,-3,negative
2 + (-3),-1,negative
5 - (-3),8,negative
-2 * (-3),6,negative
-6 / (-2),3,negative
(-2 + 3) * 4,4,negative
(2 + (-3)) * (-4),4,negative
2.5 + 3.5,6.0,decimal
4.2 - 1.7,2.5,decimal
1.5 * 2.0,3.0,decimal
3.6 / 1.2,3.0,decimal
(2.5 + 1.5) * 2.0,8.0,decimal
(4.8 - 1.2) / 1.2,3.0,decimal
2.5 * (1.5 + 0.5),5.0,decimal
(3.6 / 1.2) + 2.4,5.4,decimal
2.5 + (3.5 * 2.0),9.5,decimal
(4.2 - 1.7) * 2.0,5.0,decimal
100 + 200,300,large
500 - 300,200,large
50 * 4,200,large
400 / 2,200,large
(100 + 200) * 2,600,large
(500 - 300) / 2,100,large
50 * (4 + 2),300,large
(400 / 2) + 100,300,large
100 + (200 * 2),500,large
(500 - 300) * 3,600,large
0 + 0,0,zero
0 + 1,1,zero
1 + 0,1,zero
0 - 0,0,zero
0 - 1,-1,zero
1 - 0,1,zero
0 * 0,0,zero
0 * 1,0,zero
1 * 0,0,zero
0 / 1,0,zero
1 / 0,inf,zero
-1 + 0,-1,negative
0 + (-1),-1,negative
-1 - 0,-1,negative
0 - 1,-1,negative
-1 * 0,0,negative
0 * (-1),0,negative
-1 / 1,-1,negative
1 / (-1),-1,negative
-2 + (-3),-5,negative
-4 - (-2),-2,negative
-2 * (-3),6,negative
-6 / (-2),3,negative
(-2 + 3) * 4,4,negative
(2 + (-3)) * (-4),4,negative
-2.5 + 3.5,1.0,decimal
-4.2 - 1.7,-5.9,decimal
-1.5 * 2.0,-3.0,decimal
-3.6 / 1.2,-3.0,decimal
(-2.5 + 1.5) * 2.0,-2.0,decimal
(-4.8 - 1.2) / 1.2,-5.0,decimal
-2.5 * (1.5 + 0.5),-5.0,decimal
(-3.6 / 1.2) + 2.4,-0.6,decimal
-2.5 + (3.5 * 2.0),4.5,decimal
(-4.2 - 1.7) * 2.0,-11.8,decimal
(2 + 3i) + (1 + 2i),3 + 5i,complex
(4 - 2i) + (3 + i),7 - i,complex
(1 + i) + (1 - i),2 + 0i,complex
(2 + 3i) - (1 + 2i),1 + i,complex
(4 - 2i) - (3 + i),1 - 3i,complex
(1 + i) - (1 - i),0 + 2i,complex
(2 + 3i) * (1 + 2i),-4 + 7i,complex
(4 - 2i) * (3 + i),14 - 2i,complex
(1 + i) * (1 - i),2 + 0i,complex
(2 + 3i) / (1 + 2i),1.6 - 0.2i,complex
(4 - 2i) / (3 + i),1 - i,complex
(1 + i) / (1 - i),0 + i,complex
i * i,-1 + 0i,complex
i * i * i,0 - i,complex
i * i * i * i,1 + 0i,complex
(1 + 2i) * (3 - 4i),11 + 2i,complex
(2 - 3i) * (4 + 5i),23 - 2i,complex
(1 + i) * (2 + 3i),-1 + 5i,complex
(3 - 2i) * (1 + 4i),11 + 10i,complex
(2 + i) * (3 - 2i),8 - i,complex
π + π,6.283185307179586,addition
π * 2,6.283185307179586,multiplication
e + e,5.43656365691809,addition
e * 2,5.43656365691809,multiplication
√2 + √2,2.8284271247461903,addition
√3 * √3,3,multiplication
π * e,8.539734222673566,multiplication
e / π,0.8652559794322651,division
√2 * √8,4,multiplication
√5 + √5,4.47213595499958,addition
π + e,5.859874482048838,addition
e - π,-0.423310825130748,subtraction
√2 * √3,2.449489742783178,multiplication
√4 + √9,5,addition
π * √2,4.442882938158366,multiplication
e * √3,4.70029520471395,multiplication
√2 / √2,1,division
π / √2,2.221441469079183,division
e / √3,1.5667650682379833,division
√2 + √3,3.1462643699419726,addition
√3 - √2,0.31783724519578227,subtraction
π + √2,4.555806215962888,addition
e - √2,1.4321323893247847,subtraction
√2 * π,4.442882938158366,multiplication
√3 * e,4.70029520471395,multiplication
π / e,1.1557273497909217,division
e / √2,1.922115512393315,division
√2 + e,4.150281539872885,addition
√3 - e,-1.4321323893247847,subtraction
π * √3,5.441398092702653,multiplication
e * √2,3.84423102478663,multiplication
√2 / π,0.4501581580785531,division
√3 / e,0.6385725881635734,division
π + √3,4.873805374805134,addition
e - √3,0.4321323893247847,subtraction
√2 * e,3.84423102478663,multiplication
√3 * π,5.441398092702653,multiplication
π / √3,1.8137993642342178,division
e / √2,1.922115512393315,division
√2 + π,4.555806215962888,addition
√3 - π,-1.7273790912166983,subtraction
π * √2,4.442882938158366,multiplication
π / √2,2.221441469079183,division
e + √2,4.150281539872885,addition
e - √2,1.4321323893247847,subtraction
e * √2,3.84423102478663,multiplication
e / √2,1.922115512393315,division
π + √3,4.873805374805134,addition
π - √3,1.4093790912166983,subtraction
π * √3,5.441398092702653,multiplication
π / √3,1.8137993642342178,division
e + √3,4.70029520471395,addition
e - √3,0.4321323893247847,subtraction
e * √3,4.70029520471395,multiplication
e / √3,1.5667650682379833,division 
